DEBKGID;NNID;NAME;RS;OBA;KFZ;GEOLA;GEOBR;GKRE;GKHO;UTMRE;UTMHO
DEBKGDL20000E6Z0;DEBKGGND00001CIV;Mansfeld-Südharz;15087;AX_KreisRegion (Landkreis);MSH  EIL  HET  ML  SGH;112123;513209;3663554.2065510578;5713884.600038699;663415.5028510804;5712037.613750906
DEBKGDL20000DX50;DEBKGGND00001CB7;Marburg-Biedenkopf;06534;AX_KreisRegion (Landkreis);MR  BID;084417;505013;3481619.718441817;5633533.909552757;481552.74779693835;5631720.506392845
DEBKGDL20000E3CY;DEBKGGND00001IAG;Mayen-Koblenz;07137;AX_KreisRegion (Landkreis);MYK  MY;071956;501954;3381325.61406303;5578624.99708691;381297.8877802402;5576834.061734968
DEBKGDL20000QGHT;DEBKGGND00001C75;Mecklenburgische Seenplatte;13071;AX_KreisRegion (Landkreis);MSE  AT  DM  MC  MST  MÜR  NZ  RM  WRN;130008;533236;3765312.5451609404;5942118.088663567;765135.4029611779;5940177.477012457
DEBKGDL20000HFQN;DEBKGGND00001JUH;Meißen;14627;AX_KreisRegion (Landkreis);MEI  GRH  RG  RIE;132858;511422;3813071.439375103;5687829.74300794;812872.2970206935;5685991.493563985
DEBKGDL20000E401;DEBKGGND00001CZM;Memmingen;09764;AX_KreisRegion (Kreisfreie Stadt);MM;101106;475918;3588523.208502253;5317382.7341117915;588412.3732830721;5315695.281521951
DEBKGDL20000E3EA;DEBKGGND00001H73;Merzig-Wadern;10042;AX_KreisRegion (Landkreis);MZG;063958;492759;3330917.477174766;5483671.1789376885;330909.2451220938;5481917.871779647
DEBKGDL20000E6T2;DEBKGGND00001EE9;Mettmann;05158;AX_KreisRegion (Kreis);ME;070433;511925;3365956.326811836;5689402.5149636865;365935.4162876165;5687568.084028704
DEBKGDL20000E70O;DEBKGGND00001GZB;Miesbach;09182;AX_KreisRegion (Landkreis);MB;114833;474429;3710742.229914775;5293071.696015213;710581.5705296133;5291393.756776374
DEBKGDL20000E1CJ;DEBKGGND00001EMA;Miltenberg;09676;AX_KreisRegion (Landkreis);MIL  OBB;091405;494526;3516986.4644882656;5513421.730394983;516904.6881668359;5511655.858848913
DEBKGDL20000DZK4;DEBKGGND00001JST;Minden-Lübbecke;05770;AX_KreisRegion (Kreis);MI;084322;521912;3481162.8669717284;5798552.125249105;481097.8536032048;5796673.150354953
DEBKGDL20000HFQF;DEBKGGND00001FWO;Mittelsachsen;14522;AX_KreisRegion (Landkreis);FG  BED  DL  FLÖ  HC  MW  RL;130817;505720;3790790.70981753;5654876.897910399;790599.9129036339;5653052.346746768
DEBKGDL20000E10P;DEBKGGND00001BT8;Märkisch-Oderland;12064;AX_KreisRegion (Landkreis);MOL  FRW  SEE  SRB;140758;523831;3847399.0454004416;5846728.578871082;847188.0529036844;5844825.866211675
DEBKGDL20000E12D;DEBKGGND00001JCM;Märkischer Kreis;05962;AX_KreisRegion (Kreis);MK;074246;511545;3410233.8695325474;5681623.915647591;410195.3868009771;5679792.176940077
DEBKGDL20000DY9F;DEBKGGND00001CRK;Mönchengladbach;05116;AX_KreisRegion (Kreisfreie Stadt);MG;062554;511140;3320547.574415062;5676415.6991023235;320544.39327343047;5674586.745757479
DEBKGDL20000E6JI;DEBKGGND00003ETI;Mühldorf a. Inn;09183;AX_KreisRegion (Landkreis);MÜ  VIB  WS;122254;481421;3751244.2671004045;5350124.072551388;751067.621423347;5348422.87784638
DEBKGDL20000E4ZP;DEBKGGND00001E1E;Mülheim an der Ruhr;05117;AX_KreisRegion (Kreisfreie Stadt);MH;065306;512541;3352987.7927401303;5701394.771918829;352972.0690231222;5699555.75744251
DEBKGDL20000E06K;DEBKGGND000019BB;München;09162;AX_KreisRegion (Kreisfreie Stadt);M;113432;480813;3691759.243370789;5336435.351951051;691606.5333055521;5334739.982834257
DEBKGDL20000E06M;DEBKGGND00001IGD;München;09184;AX_KreisRegion (Landkreis);M  AIB  WOR;113706;480015;3695448.3478164407;5321763.725969308;695294.061693162;5320074.292510361
DEBKGDL20000E23Y;DEBKGGND00001H90;Münster;05515;AX_KreisRegion (Kreisfreie Stadt);MS;073736;515743;3405687.2695071613;5759554.457308966;405651.5182975198;5757692.074833235
DEBKGDL20000E2A8;DEBKGGND00001EY6;Neckar-Odenwald-Kreis;08225;AX_KreisRegion (Landkreis);MOS  BCH;091648;492760;3520361.573044105;5481111.445838126;520278.29384418135;5479358.454660732
DEBKGDL20000E1VN;DEBKGGND00001GER;Neu-Ulm;09775;AX_KreisRegion (Landkreis);NU  ILL;100828;481753;3584749.2074210346;5351763.160267995;584639.8259705929;5350061.842575952
DEBKGDL20000DYTX;DEBKGGND00001EW2;Neubrandenburg;130710107107;AX_Gemeinde;NB;131536;533326;3782299.862212062;5944658.813439828;782115.8851139926;5942716.990837971
DEBKGDL20000E4WK;DEBKGGND00001JKS;Neuburg-Schrobenhausen;09185;AX_KreisRegion (Landkreis);ND  SOB;111151;483952;3661933.5262642526;5394191.943714707;661793.1761304436;5392473.194164684
DEBKGDL20000E58U;DEBKGGND00003ETN;Neumarkt i.d. OPf.;09373;AX_KreisRegion (Landkreis);NM  PAR;113360;491257;3687057.5312719597;5456369.524311355;686907.4101358944;5454625.825642244
DEBKGDL20000E4KX;DEBKGGND00001DRB;Neumünster;01004;AX_KreisRegion (Kreisfreie Stadt);NMS;095918;540412;3564776.1358729503;5993708.210214614;564681.0320270481;5991750.038707619
DEBKGDL20000E68T;DEBKGGND00001FWV;Neunkirchen;10043;AX_KreisRegion (Landkreis);NK;070702;492233;3363353.915016085;5472677.061686518;363332.82474111393;5470927.959821178
DEBKGDL20000E35E;DEBKGGND00003ETJ;Neustadt a.d. Aisch-Bad Windsheim;09575;AX_KreisRegion (Landkreis);NEA  SEF  UFF;102755;493410;3606056.3569787177;5493555.299488522;605938.8930536773;5491797.046824567
DEBKGDL20000E6QG;DEBKGGND00003ETL;Neustadt a.d. Waldnaab;09374;AX_KreisRegion (Landkreis);NEW  ESB  VOH;115217;494333;3707090.579360224;5513869.949375657;706932.6238439914;5512102.946618928
DEBKGDL20000E0XK;DEBKGGND00001EOA;Neustadt an der Weinstraße;07316;AX_KreisRegion (Kreisfreie Stadt);NW;080827;492107;3437647.5264683855;5468688.055737331;437597.0544685811;5466940.293271948
DEBKGDL20000E0UX;DEBKGGND00001GP5;Neuwied;07138;AX_KreisRegion (Landkreis);NR;072741;503052;3390955.1180730276;5598765.557596086;390923.6784876279;5596966.6350254305
DEBKGDL20000E15O;DEBKGGND00001IXG;Nienburg (Weser);03256;AX_KreisRegion (Landkreis);NI;090650;523633;3507781.0953915557;5830680.335967565;507705.96404551266;5828788.194888898
DEBKGDL20000002Z;DEBKGGND00001FZS;Nordfriesland;01054;AX_KreisRegion (Kreis);NF;090349;543704;3504169.3138900823;6054249.945472106;504099.61278017407;6052269.0150299715
DEBKGDL20000DYXL;DEBKGGND00001I72;Nordhausen;16062;AX_KreisRegion (Landkreis);NDH;104351;513008;3620259.2942902865;5708946.744219913;620137.9741592259;5707102.058345256
DEBKGDL20000HFQZ;DEBKGGND00001FTD;Nordsachsen;14730;AX_KreisRegion (Landkreis);TDO  DZ  EB  OZ  TG  TO;124134;513319;3756145.491964886;5719887.584723961;755969.3860773868;5718037.160281506
DEBKGDL20000QGFQ;DEBKGGND00001GXA;Nordwestmecklenburg;13074;AX_KreisRegion (Landkreis);NWM  GDB  GVM  WIS;111456;534907;3648163.528884289;5967635.592506299;648034.0166798433;5965686.089037318
DEBKGDL20000DZVG;DEBKGGND00001E8Z;Northeim;03155;AX_KreisRegion (Landkreis);NOM  EIN  GAN;095056;514436;3558704.564667986;5734700.84555423;558607.8389836573;5732846.104412354
DEBKGDL20000E40K;DEBKGGND00001IML;Nürnberg;09564;AX_KreisRegion (Kreisfreie Stadt);N;110431;492703;3650545.62482388;5481410.15684329;650410.3240807601;5479656.599239764
DEBKGDL20000E2KG;DEBKGGND00001FSR;Nürnberger Land;09574;AX_KreisRegion (Landkreis);LAU  ESB  HEB  N  PEG;112208;492929;3671685.1631631516;5486550.057033128;671541.3641800752;5484794.318507759
